PROJECT,POPULATIONS,GENERATIONS,VARIANTS,SOLUTIONS
rt-project,10,50, 0, 0
rt-project,20,50, 0, 0
rt-project,50,50, 0, 0
testBinaryExprReduceVM1,10,50, 393, 2
testBinaryExprReduceVM1,20,50, 802, 2
testBinaryExprReduceVM1,50,50, 960, 2
testBinaryExprReduceVM2,10,50, 377, 3
testBinaryExprReduceVM2,20,50, 794, 3
testBinaryExprReduceVM2,50,50, 960, 3
testBinaryExprReduceVM2b,10,50, 94, 0
testBinaryExprReduceVM2b,20,50, 185, 2
testBinaryExprReduceVM2b,50,50, 267, 4
testIfNullCheckVR,10,50, 140, 125
testIfNullCheckVR,20,50, 270, 255
testIfNullCheckVR,50,50, 482, 467
testMulti1,10,50, 423, 0
testMulti1,20,50, 873, 0
testMulti1,50,50, 1000, 0
testMulti2,10,50, 175, 0
testMulti2,20,50, 168, 0
testMulti2,50,50, 451, 0
testMulti3,10,50, 184, 2
testMulti3,20,50, 178, 1
testMulti3,50,50, 321, 2
testOperatorBinary1WrongVar,10,50, 399, 2
testOperatorBinary1WrongVar,20,50, 845, 2
testOperatorBinary1WrongVar,50,50, 981, 2
testTryVR,10,50, 65, 0
testTryVR,20,50, 66, 0
testTryVR,50,50, 168, 0
testUnwrapIfVR1,10,50, 374, 1
testUnwrapIfVR1,20,50, 792, 1
testUnwrapIfVR1,50,50, 995, 1
testWMVMRcase3,10,50, 268, 0
testWMVMRcase3,20,50, 525, 0
testWMVMRcase3,50,50, 922, 0
testBinaryExprReduce1,10,50, 393, 2
testBinaryExprReduce1,20,50, 802, 2
testBinaryExprReduce1,50,50, 960, 2
testBinaryExprReduce2,10,50, 393, 2
testBinaryExprReduce2,20,50, 802, 2
testBinaryExprReduce2,50,50, 960, 2
testConstantPerVar1,10,50, 280, 3
testConstantPerVar1,20,50, 552, 3
testConstantPerVar1,50,50, 965, 3
testExprExp1,10,50, 392, 3
testExprExp1,20,50, 843, 3
testExprExp1,50,50, 970, 3
testIfNullCheck1,10,50, 140, 125
testIfNullCheck1,20,50, 270, 255
testIfNullCheck1,50,50, 456, 441
testIfNullCheck2,10,50, 389, 80
testIfNullCheck2,20,50, 786, 176
testIfNullCheck2,50,50, 786, 176
testIfSimple1,10,50, 406, 30
testIfSimple1,20,50, 858, 95
testIfSimple1,50,50, 858, 95
testMethodReplaceByVar1,10,50, 256, 2
testMethodReplaceByVar1,20,50, 479, 2
testMethodReplaceByVar1,50,50, 946, 2
